,Neighborhood,Latitude,Longitude
129,Astoria,40.76850859335492,-73.91565374304234
130,Woodside,40.74634908860222,-73.90184166838284
131,Jackson Heights,40.75198138007367,-73.88282109164365
132,Elmhurst,40.744048505122024,-73.88165622288388
133,Howard Beach,40.65422527738487,-73.8381376460028
134,Corona,40.74238175015667,-73.85682497345258
135,Forest Hills,40.72526378216503,-73.84447500788983
136,Kew Gardens,40.7051790354148,-73.82981905825703
137,Richmond Hill,40.69794731471763,-73.83183321446887
138,Flushing,40.76445419697846,-73.83177300329582
139,Long Island City,40.75021734610528,-73.93920223915505
140,Sunnyside,40.74017628351924,-73.92691617561577
141,East Elmhurst,40.76407323883091,-73.86704147658772
142,Maspeth,40.725427374093606,-73.89621713626859
143,Ridgewood,40.70832315613858,-73.90143517559589
144,Glendale,40.70276242967838,-73.87074167435605
145,Rego Park,40.72897409480735,-73.8578268690537
146,Woodhaven,40.68988687915789,-73.8581104655432
147,Ozone Park,40.680708468265415,-73.84320266173447
148,South Ozone Park,40.66854957767195,-73.80986478649041
149,College Point,40.784902749260205,-73.84304528896125
150,Whitestone,40.78129076602694,-73.81420216610863
151,Bayside,40.76604063281064,-73.7742736306867
152,Auburndale,40.76172954903262,-73.79176243728061
153,Little Neck,40.7708261928267,-73.7388977558074
154,Douglaston,40.76684609790763,-73.7424982072733
155,Glen Oaks,40.74944079974332,-73.71548118999145
156,Bellerose,40.72857318176675,-73.72012814826903
157,Kew Gardens Hills,40.722578244228046,-73.82087764933566
158,Fresh Meadows,40.7343944653313,-73.78271337003264
159,Briarwood,40.71093547252271,-73.81174822458634
160,Jamaica Center,40.70465736068717,-73.79690165888289
161,Oakland Gardens,40.74561857141855,-73.75494976234332
162,Queens Village,40.718893092167356,-73.73871484578424
163,Hollis,40.71124344191904,-73.75925009335594
164,South Jamaica,40.696911253789885,-73.7904261313554
165,St. Albans,40.69444538522359,-73.75867603727717
166,Rochdale,40.67521139591733,-73.77258787620906
167,Springfield Gardens,40.666230490368584,-73.76042092682287
168,Cambria Heights,40.692774639160845,-73.73526873708026
169,Rosedale,40.659816433428084,-73.73526079428278
170,Far Rockaway,40.603134432500894,-73.75497968043872
171,Broad Channel,40.60302658351238,-73.8200548911032
172,Breezy Point,40.55740128845452,-73.92551196994168
173,Steinway,40.775923015642896,-73.90228960391673
174,Beechhurst,40.79278140360048,-73.80436451720988
175,Bay Terrace,40.782842806245554,-73.7768022262158
176,Edgemere,40.595641807368494,-73.77613282391705
177,Arverne,40.58914394372971,-73.79199233136943
178,Rockaway Beach,40.582801696845586,-73.82236121088751
179,Neponsit,40.572036730217015,-73.85754672410827
180,Murray Hill,40.764126122614066,-73.81276269135866
181,Floral Park,40.741378421945434,-73.70884705889246
182,Holliswood,40.7209572076444,-73.76714166714729
183,Jamaica Estates,40.71680483014613,-73.7872269693666
184,Queensboro Hill,40.7445723092867,-73.82580915110559
185,Hillcrest,40.723824901829204,-73.79760300912672
186,Ravenswood,40.761704526054146,-73.93157506072878
187,Lindenwood,40.66391841925139,-73.84963782402441
188,Laurelton,40.66788389660247,-73.74025607989822
189,Lefrak City,40.736074570830795,-73.8625247141374
190,Belle Harbor,40.57615556543109,-73.8540175039252
191,Rockaway Park,40.58034295646131,-73.84153370226186
192,Somerville,40.59771061565768,-73.79664750844047
193,Brookville,40.66000322733613,-73.75175310731153
194,Bellaire,40.73301404027834,-73.73889198912481
195,North Corona,40.7540709990489,-73.85751790676447
196,Forest Hills Gardens,40.7146110815117,-73.8410221123401
197,St. George,40.6449815710044,-74.07935312512797
198,New Brighton,40.64061455913511,-74.08701650516625
199,Stapleton,40.62692762538176,-74.07790192660066
200,Rosebank,40.61530494652761,-74.06980526716141
201,West Brighton,40.63187892654607,-74.1071817826561
202,Grymes Hill,40.624184791313006,-74.08724819983729
203,Todt Hill,40.59706851814673,-74.1113288180088
204,South Beach,40.58024741350956,-74.0795529253982
205,Port Richmond,40.63366930554365,-74.12943426797008
206,Mariner's Harbor,40.632546390481124,-74.15008537046981
207,Port Ivory,40.63968297845542,-74.17464532993542
208,Castleton Corners,40.61333593766742,-74.11918058534842
209,New Springville,40.594252379161695,-74.16496031329827
210,Travis,40.58631375103281,-74.19073717538116
211,New Dorp,40.57257231820632,-74.1164794360638
212,Oakwood,40.5584622432888,-74.12156593771896
213,Great Kills,40.549480228713605,-74.14932381490992
214,Eltingville,40.542230747450745,-74.1643308041936
215,Annadale,40.53811417474507,-74.17854866165878
216,Woodrow,40.541967622888755,-74.20524582480326
217,Tottenville,40.50533376115642,-74.24656934235283
218,Tompkinsville,40.637316067110326,-74.08055351790115
219,Silver Lake,40.61919310792676,-74.09629029235458
220,Sunnyside,40.61276015756489,-74.0971255217853
221,Ditmas Park,40.643675183340974,-73.96101312466779
222,Wingate,40.66094656188111,-73.93718680559314
223,Rugby,40.655572313280764,-73.92688212616955
224,Park Hill,40.60919044434558,-74.08015734936296
225,Westerleigh,40.62109047275409,-74.13304143951704
226,Graniteville,40.620171512231884,-74.15315246387762
227,Arlington,40.63532509911492,-74.16510420241124
228,Arrochar,40.596312571276734,-74.06712363225574
229,Grasmere,40.59826835959991,-74.0766743627905
230,Old Town,40.59632891379513,-74.08751118005578
231,Dongan Hills,40.588672948199275,-74.09639905312521
232,Midland Beach,40.57352690574283,-74.09348266303591
233,Grant City,40.57621558711788,-74.10585598545434
234,New Dorp Beach,40.56425549307335,-74.10432707469124
235,Bay Terrace,40.55398800858462,-74.13916622175768
236,Huguenot,40.531911920489605,-74.19174105747814
237,Pleasant Plains,40.524699376118136,-74.21983106616777
238,Butler Manor,40.50608165346305,-74.22950350260027
239,Charleston,40.53053148283314,-74.23215775896526
240,Rossville,40.54940400650072,-74.21572851113952
241,Arden Heights,40.54928582278321,-74.18588674583893
242,Greenridge,40.555295236173194,-74.17079414786092
243,Heartland Village,40.58913894875281,-74.15902208156601
244,Chelsea,40.59472602746295,-74.1895604551969
245,Bloomfield,40.60577868452358,-74.18725638381567
246,Bulls Head,40.6095918004203,-74.15940948657122
247,Carnegie Hill,40.7826825671257,-73.95325646837112
248,Noho,40.72325901885768,-73.98843368023597
249,Civic Center,40.71522892046282,-74.00541529873355
250,Midtown South,40.7485096643122,-73.98871313285247
251,Richmond Town,40.56960594275505,-74.1340572986257
252,Shore Acres,40.60971934079284,-74.06667766061771
253,Clifton,40.61917845202843,-74.072642445484
254,Concord,40.6044731896879,-74.08402364740358
255,Emerson Hill,40.606794394801,-74.09776206972522
256,Randall Manor,40.63563000681151,-74.09805062373887
257,Howland Hook,40.63843283794795,-74.18622331749823
258,Elm Park,40.630146741193826,-74.1418167896889
259,Remsen Village,40.652117451793494,-73.91665331978048
260,New Lots,40.6627442796966,-73.88511776379292
261,Paerdegat Basin,40.63131755039667,-73.90233474295836
262,Mill Basin,40.61597423962336,-73.91515391550404
263,Jamaica Hills,40.71145964370482,-73.79646462081593
264,Utopia,40.73350025429757,-73.79671678028349
265,Pomonok,40.73493618075478,-73.80486120040537
266,Astoria Heights,40.7703173929982,-73.89467996270574
267,Claremont Village,40.83142834161548,-73.90119903387667
268,Concourse Village,40.824780490842905,-73.91584652759009
269,Mount Eden,40.84382617671654,-73.91655551964419
270,Mount Hope,40.84884160724665,-73.90829930881988
271,Sutton Place,40.76028033131374,-73.96355614094303
272,Hunters Point,40.743414090073536,-73.95386782130745
273,Turtle Bay,40.75204236950722,-73.96770824581834
274,Tudor City,40.746917410740195,-73.97121928722265
275,Stuyvesant Town,40.73099955477061,-73.97405170469203
276,Flatiron,40.739673047638426,-73.9909471052826
277,Sunnyside Gardens,40.74565180608076,-73.91819286431682
278,Blissville,40.73725071694497,-73.93244235260178
279,Fulton Ferry,40.70328109093014,-73.99550751888415
280,Vinegar Hill,40.70332149882874,-73.98111603592393
281,Weeksville,40.67503986503237,-73.93053108817338
282,Broadway Junction,40.67786104769531,-73.90331684852599
283,Dumbo,40.70317632822692,-73.9887528074504
284,Manor Heights,40.60180957631444,-74.12059399718001
285,Willowbrook,40.60370692627371,-74.13208447484298
286,Sandy Ground,40.541139922091766,-74.21776636068567
287,Egbertville,40.579118742961214,-74.12727240604946
288,Roxbury,40.56737588957032,-73.89213760232822
289,Homecrest,40.598525095137255,-73.95918459428702
290,Middle Village,40.716414511158185,-73.88114319200604
291,Prince's Bay,40.52626406734812,-74.20152556457658
292,Lighthouse Hill,40.57650629379489,-74.13792663771568
293,Richmond Valley,40.51954145748909,-74.22957080626941
294,Malba,40.79060155670148,-73.82667757138641
295,Highland Park,40.6819989345173,-73.890345709872
296,Madison,40.60937770113766,-73.94841515328893
297,Bronxdale,40.85272297633017,-73.86172577555115
298,Allerton,40.86578787802982,-73.85931863221647
299,Kingsbridge Heights,40.8703923914147,-73.90152264513144
300,Erasmus,40.64692606658579,-73.94817709920184
301,Hudson Yards,40.75665808227519,-74.00011136202637
302,Hammels,40.58733774018741,-73.80553002968718
303,Bayswater,40.611321691283834,-73.76596781445627
304,Queensbridge,40.756091297094706,-73.94563070334091
305,Fox Hills,40.61731079252983,-74.08173992211962
